"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2745062,"October 31, 2023","North Carolina",Durham,"3412 Glasson St",1,0,0,0,0,N/A
2744307,"October 31, 2023",Georgia,Atlanta,"170 Piedmont Ave SE",1,0,0,0,1,N/A
2744335,"October 31, 2023",Tennessee,Nashville,"365 Harding Pl",1,0,0,0,0,N/A
2744051,"October 31, 2023",Illinois,Chicago,"9900 S Ave G",1,0,0,0,0,N/A
2745126,"October 31, 2023",California,Oakland,"9967 Medford Ave",1,0,0,0,0,N/A
2744419,"October 31, 2023",Florida,"North Miami Beach (Aventura)","19501 W Country Club Dr",1,0,0,0,0,N/A
2745463,"October 31, 2023",Nevada,"North Las Vegas","6100 block of Shadow Oak Dr",1,0,0,0,0,N/A
2744355,"October 31, 2023",Washington,Tacoma,"1900 Milwaukee Way",1,0,0,0,0,N/A
2744360,"October 31, 2023",California,Oakland,"Stone St and San Leandro St",1,0,0,0,0,N/A
2744151,"October 31, 2023","South Carolina",Aiken,"600 block of Sundy Ave",1,0,0,0,0,N/A
2745085,"October 31, 2023","North Carolina",Charlotte,"1000 block of Eaglewood Ave",1,0,0,0,0,N/A
2744987,"October 31, 2023",Florida,"Fort Lauderdale (Lauderhill)","NW 56th Ave and NW 28th St",1,2,0,0,0,N/A
2744682,"October 31, 2023",Minnesota,"Minneapolis (Brooklyn Park)","7200 block of Zane Ave N",1,1,0,0,0,N/A
2744309,"October 31, 2023",Louisiana,Lafayette,"W Willow St and N University Ave",1,0,0,0,1,N/A
2747100,"October 31, 2023","South Carolina",Ridgeland,"75 Shadetree St",1,0,0,0,0,N/A
2744210,"October 31, 2023",Michigan,Detroit,"17720 W Warren Ave",1,0,0,0,0,N/A
2744745,"October 31, 2023",Texas,Katy,"3100 block of Upland Spring Tr",1,0,1,0,0,N/A
2744586,"October 31, 2023",Virginia,Fieldale,"10th St",1,0,0,0,1,N/A
2744930,"October 31, 2023",California,Fresno,"N Sherman Ave and E San Jose Ave",1,1,0,0,0,N/A
2744901,"October 31, 2023","South Carolina",Abbeville,"Keowee Rd",1,0,0,0,0,N/A
2744060,"October 31, 2023",Alabama,Fosters,"Timbertop Ln",1,0,0,0,1,N/A
2744797,"October 31, 2023",California,"Pittsburg (Bay Point)","Island View Ct",1,1,0,0,2,N/A
2744854,"October 31, 2023",Montana,Belgrade,"Jackrabbit Ln",1,0,0,0,1,N/A
2744759,"October 31, 2023",Arkansas,"West Memphis","101 E Broadway Blvd St",1,0,0,0,0,N/A
2744768,"October 31, 2023",California,"San Jacinto","1400 block of S San Jacinto Ave",0,0,1,0,0,N/A
2744756,"October 31, 2023",Ohio,Cleveland,"19391 St Clair Ave",1,0,0,0,0,N/A
2744752,"October 31, 2023",Texas,Dallas,"10600 block of Casnett Dr",1,0,0,0,0,N/A
2745589,"October 31, 2023",Nebraska,Allen,N/A,0,0,1,0,0,N/A
2744723,"October 31, 2023",Colorado,Alamosa,"Rd S 107",0,0,1,0,0,N/A
2744658,"October 31, 2023",Ohio,Columbus,"1600 block of Cleveland Ave",1,0,0,0,2,N/A
2745287,"October 31, 2023",Tennessee,Mascot,"8500 block of Old Rutledge Pike",1,0,0,0,1,N/A
2745524,"October 30, 2023","District of Columbia",Washington,"1800 block of Fairlawn Ave SE",1,0,0,0,0,N/A
2744616,"October 30, 2023",Maryland,Baltimore,"4600 block of Bowleys Ln",1,0,0,0,0,N/A
2744656,"October 30, 2023","North Carolina",Durham,"3800 block of Guess Rd",1,0,0,0,0,N/A
2743619,"October 30, 2023","North Carolina",Goldsboro,"908 S Audubon Ave",1,0,0,0,0,N/A
2743821,"October 30, 2023",Maryland,Parkville,"7300 block of McClean Blvd",1,0,0,0,0,N/A
2743431,"October 30, 2023",Arizona,Phoenix,"N 48th St and E McDowell Rd",1,0,0,0,0,N/A
2746009,"October 30, 2023",Georgia,Jonesboro,"Johnson St & Woodland Dr",1,0,0,0,0,N/A
2743755,"October 30, 2023",Illinois,Chicago,"800 block of N Trumbull Ave",1,0,0,0,0,N/A
2743261,"October 30, 2023",Mississippi,Gautier,"1700 block of Pat Dr",1,0,1,0,0,N/A
2744422,"October 30, 2023",Illinois,Chicago,"7200 block of S University Ave",1,0,0,0,0,N/A
2743273,"October 30, 2023",Michigan,"Muskegon (Muskegon Heights)","Howden St and E Barney Ave",1,0,0,0,0,N/A
2743508,"October 30, 2023",Indiana,Indianapolis,"3000 block of W 39th St",1,0,0,0,0,N/A
2743331,"October 30, 2023",Washington,"Renton (Newcastle)","12901 Newcastle Way",1,0,0,0,1,N/A
2744147,"October 30, 2023",Minnesota,Minneapolis,"4130 N Humboldt Ave",1,0,0,0,0,N/A
2744329,"October 30, 2023",Florida,Jacksonville,"1214 Labelle St",1,0,0,0,0,N/A
2743307,"October 30, 2023",Mississippi,Raymond,"208 Magnolia Dr",1,0,0,0,0,N/A
2743285,"October 30, 2023",Mississippi,Greenville,"1800 block of E Alexander St",1,2,0,0,0,N/A
2744268,"October 30, 2023",Louisiana,"Baton Rouge","2000 block of 79th St",1,0,0,0,0,N/A
2743409,"October 30, 2023",Pennsylvania,Philadelphia,"Baltimore Ave and S 54th St",1,2,0,0,1,N/A
2744253,"October 30, 2023",Maryland,Arnold,"Kimwood Rd and Driftwood Ct",1,0,0,0,0,N/A
2744134,"October 30, 2023",Oregon,Ashland,"Dead Indian Memorial Rd",0,1,1,0,0,N/A
2744119,"October 30, 2023",Texas,Houston,"Birnam Wood Blvd and Chestergate Dr",1,0,0,0,0,N/A
2744114,"October 30, 2023",Texas,Cleburne,"Weeks Rd",0,0,1,0,0,N/A
2744084,"October 30, 2023",Alabama,Decatur,"700 block of 3rd Ave SE",1,0,0,0,1,N/A
2744078,"October 30, 2023",Alabama,Birmingham,"1500 Block of Alabama Ave SW",1,0,0,0,0,N/A
